Model,Runs,Prompts,Success_R0_pct,Success_R1_pct,Success_R2_pct,Success_R3_pct,Success_R4_pct,Success_R5_pct,AUC_Success_pct,Success_R0_ci95_low_pct,Success_R0_ci95_high_pct,Success_R5_ci95_low_pct,Success_R5_ci95_high_pct,Field_method_name_final_acc_pct,Field_return_param_name_final_acc_pct,Field_loop_count_final_acc_pct,Field_has_select_final_acc_pct,Field_test_method_count_final_acc_pct,Field_assert_call_count_final_acc_pct,Success_R5_StringHandling_pct,Runs_StringHandling,Success_R5_ListorArrayOperation_pct,Runs_ListorArrayOperation,Success_R5_MathematicalCalculation_pct,Runs_MathematicalCalculation,Success_R5_LogicalCondition_pct,Runs_LogicalCondition,Success_R5_ABAPDatabaseOperation_pct,Runs_ABAPDatabaseOperation
deepseek-reasoner,540,180,44.81481481481481,52.03703703703704,61.66666666666667,67.22222222222223,72.22222222222221,75.55555555555556,62.25308641975309,40.671612324247015,49.0312717508219,71.75856566254987,78.99150568175331,99.07407407407408,99.25925925925925,80.37037037037037,99.07407407407408,98.51851851851852,90.37037037037037,60.526315789473685,228,79.32098765432099,324,75.62724014336918,279,77.06666666666668,375,85.41666666666666,48
claude-opus-4-5-20251101,540,180,44.25925925925926,45.18518518518518,49.074074074074076,53.70370370370371,57.22222222222222,61.111111111111114,51.75925925925926,40.125077039069765,48.47454461547082,56.93462014547283,65.13062826509378,99.07407407407408,98.14814814814815,65.55555555555556,99.44444444444444,98.70370370370371,91.2962962962963,48.24561403508772,228,69.44444444444444,324,58.78136200716846,279,60.0,375,85.41666666666666,48
claude-haiku-4-5-20251001,540,180,38.51851851851852,44.44444444444444,48.7037037037037,56.111111111111114,57.22222222222222,58.51851851851851,50.586419753086425,34.5087846527032,42.690458656377984,54.317018466430675,62.59967198167037,100.0,100.0,67.03703703703704,92.4074074074074,98.88888888888889,82.96296296296296,49.56140350877193,228,58.64197530864198,324,58.422939068100355,279,56.8,375,39.58333333333333,48
gemini-3.1-pro-preview,36,12,58.333333333333336,58.333333333333336,58.333333333333336,58.333333333333336,58.333333333333336,58.333333333333336,58.333333333333336,42.19996966427768,72.85966649491272,42.19996966427768,72.85966649491272,100.0,100.0,66.66666666666666,100.0,100.0,75.0,0.0,15,60.0,30,75.0,24,44.44444444444444,27,,0
mistral-large-2512,540,180,38.7037037037037,46.2962962962963,49.25925925925926,50.92592592592593,53.148148148148145,54.25925925925926,48.76543209876544,34.6890472525406,42.87795019671668,50.04201221543343,58.4163330086171,99.62962962962963,99.81481481481481,59.81481481481481,99.81481481481481,99.07407407407408,86.85185185185185,38.59649122807017,228,62.65432098765432,324,51.25448028673835,279,53.6,375,75.0,48
sap-abap-1,548,180,37.22627737226277,39.96350364963504,42.153284671532845,45.98540145985402,47.262773722627735,47.627737226277375,43.3698296836983,33.28090120509629,41.349499982490855,43.47716128077864,51.811341796916125,99.08759124087592,99.63503649635037,57.846715328467155,99.08759124087592,95.25547445255475,81.38686131386861,36.681222707423586,229,51.204819277108435,332,50.87108013937283,287,44.90861618798956,383,18.75,48
gemini-3-flash-preview,540,180,42.03703703703704,42.77777777777778,43.51851851851852,43.888888888888886,44.62962962962963,45.74074074074074,43.76543209876544,37.94421266117568,46.24235931125158,41.5836669913829,49.957987784566576,98.33333333333333,98.33333333333333,48.7037037037037,98.33333333333333,98.33333333333333,91.11111111111111,23.684210526315788,228,53.70370370370371,324,49.46236559139785,279,41.6,375,81.25,48
gpt-5.2,540,180,36.11111111111111,38.88888888888889,41.11111111111111,44.25925925925926,45.0,45.18518518518518,41.75925925925926,32.17108165485287,40.24735783193887,41.03626013610157,49.40213221931957,100.0,100.0,52.22222222222223,100.0,98.51851851851852,87.4074074074074,27.192982456140353,228,51.85185185185185,324,47.67025089605735,279,44.53333333333334,375,52.083333333333336,48
